year,acousticness,danceability,energy,instrumentalness,liveness,valence
1921,0.8868960000000005,0.4185973333333336,0.2318151333333333,0.3448780588666665,0.20571,0.3793266666666666
1922,0.9385915492957748,0.4820422535211267,0.2378153521126759,0.4341948697183099,0.2407197183098592,0.5355492957746479
1923,0.9572467913513516,0.5773405405405401,0.2624064864864865,0.371732725027027,0.2274621621621621,0.6254924324324328
1924,0.940199860169493,0.5498940677966102,0.3443466101694912,0.5817009136440677,0.2352190677966101,0.6637254237288139
1925,0.9626070503597138,0.5738633093525181,0.2785935251798561,0.4182973612230215,0.2376679856115108,0.6219287769784171
1926,0.660817216981134,0.5998802612481859,0.2114670907111756,0.3330931111175616,0.2323695936139332,0.4369104571843251
1927,0.9361794552845558,0.6482682926829262,0.2643213008130081,0.3913284986504065,0.1684502439024389,0.6597004878048782
1928,0.9386165035685952,0.5342878667724027,0.2079477954004757,0.4948354801348136,0.1752893735130848,0.4957126883425853
1929,0.6014265861344558,0.6476698529411761,0.2418007352941172,0.2152040310609246,0.2360002100840333,0.6365298319327733
1930,0.936714937370057,0.5181758835758836,0.3335239189189189,0.3522059281652805,0.2213108627858629,0.6162376299376306
1931,0.8330399585921336,0.5952217391304357,0.2344967732919257,0.2214196416149072,0.2274279503105589,0.5131170807453418
1932,0.9357705179282878,0.5577976095617526,0.3020677290836656,0.2263565791633467,0.2324962151394422,0.5881599601593626
1933,0.899897909117222,0.57029030390738,0.2798994211287988,0.1839489396816208,0.2090719247467437,0.5994099855282197
1934,0.8911487501730107,0.528705882352941,0.2621313148788928,0.276382266643599,0.2134525951557092,0.5588046712802772
1935,0.7783855599472987,0.5558691699604746,0.2463669762845848,0.2258732980895915,0.2292998682476943,0.5455777997364957
1936,0.7723120800000008,0.5580055454545453,0.3083886092727274,0.2571099957181816,0.2214382727272726,0.5640635454545455
1937,0.8654357853881286,0.5421572298325723,0.3110482952815827,0.3270876216438359,0.2259677321156773,0.5857894977168944
1938,0.9192803908646014,0.479977977161501,0.2809812398042416,0.3784246349265906,0.237111092985318,0.5149111092985317
1939,0.9087381000000004,0.5126828,0.2826715000000002,0.2776824694100001,0.2391015999999999,0.5599248999999992
1940,0.8476440499999951,0.52189235,0.3108928949999999,0.3168486998649998,0.2643351000000004,0.6167094700000009
1941,0.8957376562500025,0.4804813541666676,0.2656431979166666,0.4449516393124999,0.2018398958333331,0.4794560416666661
1942,0.8529343703923857,0.4646338882282997,0.2560794708680144,0.392882047871581,0.2128784185493456,0.4774088585017848
1943,0.9027523185915528,0.4551456338028168,0.2799900422535211,0.4098969234647892,0.2392107042253524,0.4954545070422531
1944,0.9076531914893636,0.5001744680851068,0.2534414494680852,0.4492919654122334,0.2387719414893616,0.5406954787234041
1945,0.7096568630000005,0.5191431500000011,0.2260444155,0.2758942570149996,0.2030099500000001,0.4913613500000002
1946,0.9199445823665852,0.4144450116009276,0.2221723085846866,0.4861264096461711,0.2108183294663576,0.3982538283062647
1947,0.9139650224242392,0.4713208484848491,0.2635512000000002,0.3475934179090908,0.2238293939393936,0.5082125454545455
1948,0.9221549999999956,0.4633694736842109,0.242464841052632,0.3554848223842104,0.2196935789473678,0.4621423684210526
1949,0.9075328949999956,0.4421993999999996,0.2461146149999996,0.2977615361899994,0.2088585500000004,0.4304195000000001
1950,0.8539413005999965,0.5042531000000008,0.3140711950000003,0.245000820015,0.2169584000000004,0.5516497000000001
1951,0.9022971956499974,0.4624800999999999,0.254665655,0.3084378555850002,0.2177773999999999,0.44134755
1952,0.8743009244999965,0.4570322000000001,0.2536260100000002,0.2884126469300002,0.2329722999999998,0.4431349620499994
1953,0.8909223502564074,0.4374260512820513,0.2661968307692306,0.3183223943230766,0.221734051282051,0.4291420512820513
1954,0.8650197272999992,0.4656388999999994,0.264347385,0.2974400082799999,0.2178411499999996,0.4523410500000002
1955,0.8405510069999986,0.4881312,0.2950963400000001,0.2166044216900002,0.2214353500000001,0.4724154999999997
1956,0.8230569899999975,0.4878145000000007,0.3047611200000001,0.2387634177800001,0.1822571500000002,0.5084230500000003
1957,0.7928023589743608,0.5034812307692305,0.2952791333333324,0.1945206161692309,0.1827485641025636,0.5110101538461542
1958,0.7796118650000005,0.4800213999999995,0.3087957550000006,0.1812411100599998,0.2058408500000003,0.4976614999999994
1959,0.7793927897435907,0.4821143076923083,0.3109944051282049,0.1881481940615383,0.1918429230769232,0.4784156410256422
1960,0.7671814843243259,0.4860292432432435,0.3411423783783781,0.1765021594216216,0.2078637297297298,0.5239316756756759
1961,0.7519038684210535,0.4891655789473678,0.3395318673684203,0.2646232531421054,0.2089125789473681,0.5128512105263155
1962,0.720607806842106,0.4931643684210523,0.3710257,0.1714715509421054,0.2018957368421054,0.5477920526315792
1963,0.7227048300000004,0.48162135,0.3653538849999999,0.18543231468,0.2037453000000002,0.5415274500000008
1964,0.6941005307692291,0.5041769743589742,0.394438825641026,0.1595978017794872,0.2172323589743596,0.55726042051282
1965,0.6099113295384619,0.5034505641025638,0.4490272461538461,0.1183659460923078,0.2138391282051284,0.5809506666666668
1966,0.5248094599699997,0.5070204999999981,0.482208465,0.1151259555649999,0.2180930999999999,0.5801445499999996
1967,0.5296103243521767,0.4926885942971483,0.4468238319159585,0.1189468546723362,0.190917658829415,0.5507916958479243
1968,0.4937702403500001,0.5010080999999997,0.4569696500000004,0.112776949285,0.2173509500000005,0.5659936500000002
1969,0.4488463039999994,0.4880977999999999,0.4876251299999994,0.1594527081650001,0.2069658999999999,0.5547452849999999
