Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Alcance Spotify / Relación Seguidores,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
62808,Kaos Urbano,España,They/Them,Grupo,Kaos Urbano / DDB Music,"Punk, Rock, Alternative",Developing,Growth,40997,80414,0.509824,,38,360169,6452
255808,Mai Charoenpura,España,,,Mai Charoenpura,"Pop, Country, Rock",Developing,Steady,76269,78992,0.965528,,32,552720,3800
189084,Hidrogenesse,España,They/Them,Grupo,Austrohúngaro,"Latin Pop, Electronic, Latin",Developing,Steady,23394,28037,0.834397,,23,910845,4335
431744,Miguel Bastida,España,He/Him,Artistas solistas,Be One Records,"House, Electronic, Techno, Latin",Developing,Steady,32785,110172,0.29758,,32,2420770,19719
1741699,Deep Nao,España,,,"Nao Music, Deep Nao","Latin Dance, Latin Hip-Hop/Rap, Alternative, Latin",Developing,Growth,2263,183338,0.012343,,39,366046,6167
3314320,Seijas,España,He/Him,Artistas solistas,Unknown Association,Hip-Hop/Rap,Developing,Growth,752,136557,0.005507,,40,257411,5042
1377341,Queralt Lahoz,España,She/Her,Artistas solistas,Costa Futuro,"Hip-Hop/Rap, Pop, Vocal",Developing,Growth,30461,115238,0.264331,,38,869707,7209
442638,995,España,,,Unknown Association,"Hip-Hop/Rap, Dance, Electronic",Developing,Growth,29023,139225,0.208461,,35,619792,4025
73144,Xandra Garsem,España,She/Her,Artistas solistas,Real Key Music,"Latin Pop, Latin Rock, Singer/Songwriter, Latin",Developing,Growth,41224,41015,1.005096,,28,511178,3073
718796,Bombony Montana,España,,,Unknown Association,Hip-Hop/Rap,Developing,Growth,1851,104254,0.017755,,36,500338,9535
665478,CYR,España,,,Unknown Association,"Hip-Hop/Rap, Pop, Electronic",Developing,Steady,,,,,,17497,55
166567,Celia Vergara,España,,Artistas solistas,Unknown Association,"Jazz, Soundtracks, Pop",Developing,Steady,2225,97769,0.022758,,31,773593,2065
1296910,SUSHIKING,España,He/Him,Artistas solistas,Unknown Association,"Hip-Hop/Rap, R&B/Soul, Pop",Developing,Growth,1998,94635,0.021113,,37,232704,6323
488411,LUIS BREA,España,,,El Vaivén,"Rock, Alternative, Pop",Developing,Growth,14295,72486,0.19721,,32,386542,5398
4090377,Lidia Vodec,España,,,Unknown Association,"Pop, Dance, Hip-Hop/Rap",Developing,Growth,813,70921,0.011463,,31,326847,7191
93447,Los Payos,España,,,Unknown Association,"Latin Pop, Latin",Developing,Growth,18647,51237,0.363936,,27,710133,2626
710198,Baltic House Orchestra,España,,,"Power Out, Baltic House Orchestra","Classical, Rock, Soundtracks",Developing,Explosive Growth,16121,239072,0.067432,,40,1653977,9781
3531111,Shoren,España,,Artistas solistas,SHOREN,"Hip-Hop/Rap, Pop, Alternative",Developing,Growth,20943,99424,0.210643,,38,547678,10378
3785018,Babsy,España,,,"Mood Of The Era, Mooifeessie.nl","Jazz, Electronic, House",Developing,Growth,583,11763,0.049562,,16,2957037,1865
559079,Vaho,España,They/Them,Grupo,BeatClap,"Hip-Hop/Rap, Pop, Rock",Developing,Steady,9972,22003,0.453211,,28,118356,2807
273438,Oscar Mulero,España,He/Him,Artistas solistas,Semantica Records,"Techno, Dance, Electronic",Developing,Steady,59913,44198,1.355559,,28,3304230,6626
10471752,Dilas,España,,,Unknown Association,"Hip-Hop/Rap, Electronic, Industrial",Developing,Growth,230,199423,0.001153,,41,623800,1023
3568523,Ivan Armesto,España,He/Him,Artistas solistas,Ivan Armesto,"Latin Pop, Latin Hip-Hop/Rap, Latin, Electronic",Developing,Decline,42486,65441,0.649226,,29,3373761,28452
157095,Chicuelo,España,He/Him,Artistas solistas,DES,"Flamenco, Latin",Developing,Growth,4528,70331,0.064381,,29,698621,3150
660716,JEDET,España,,,"Jedet, PIES Compañía Discográfica","R&B/Soul, Latin Pop, Latin Hip-Hop/Rap, Latin",Developing,Steady,36944,147188,0.250999,,33,868752,8758
604825,Felipe Conde,España,They/Them,Grupo,16 Pistas,"Latin Pop, Flamenco, Latin",Developing,Growth,5320,308488,0.017245,,36,591400,507
1370188,Sofía Suescun,España,He/Him,Artistas solistas,Unknown Association,Others,Developing,Growth,1920,458,4.19214,,1,3241,101
1634296,MERINO,España,They/Them,Grupo,MERINO,"Indie Pop, Pop, Alternative",Developing,Steady,6712,115757,0.057984,,35,1136738,1549
105749,Federico Moreno Torroba,España,He/Him,Artistas solistas,Raighes Factory,"Classical, Instrumental, New Age",Developing,Steady,4872,68494,0.07113,,32,532290,3045
503680,Bastian Bux,España,He/Him,Artistas solistas,"Diggin' Records, NEVERENDZ","Electronic, Techno, House",Developing,Growth,5918,32080,0.184476,,23,944519,5282
1695889,Ruben Delallana,España,He/Him,Artistas solistas,Ruben Delallana,"Latin Pop, Flamenco, Latin Hip-Hop/Rap, Latin",Developing,Steady,4854,166302,0.029188,,38,622053,2623
541216,B Jones,España,She/Her,Artistas solistas,Tomorrowland Music,"Electronic, House, Hip-Hop/Rap",Developing,Steady,12871,195363,0.065882,,39,3907404,4094
3970983,Atari Hanzo,España,,,Distrokid,"Hip-Hop/Rap, Dance, R&B/Soul",Developing,Growth,1483,99165,0.014955,,35,228219,10156
59062,Rosa López,España,She/Her,,BeatClap,"Latin Pop, Latin",Developing,Growth,24183,52687,0.458994,,30,1063896,3595
485220,Kaos Etíliko,España,They/Them,Grupo,BeatClap,"Latin Rock, Punk, Alternative, Latin",Developing,Growth,44644,98114,0.455022,,39,321622,5120
428669,Victor Magan,España,He/Him,Artistas solistas,UMG (Virgin Music),"Electronic, Latin Dance, House, Latin",Developing,Steady,5302,175114,0.030277,,35,2110944,8020
166000,Sule B,España,He/Him,Artistas solistas,"WEIRDO MUSIC, NEOSADNESS by WEIRDO MUSIC","Latin Hip-Hop/Rap, Latin",Developing,Steady,36917,76805,0.480659,,33,673183,10392
720285,Droow,España,,,akadroow,Hip-Hop/Rap,Developing,Steady,86291,116240,0.742352,,40,297783,4941
3565492,Anahis Martin,España,,,Ophion Records,"Latin Hip-Hop/Rap, Flamenco, Holiday, Latin",Developing,Explosive Growth,1335,32772,0.040736,,23,474991,2597
271722,Full,España,They/Them,Grupo,Defull Records,"Latin Pop, Latin Rock, Electronic, Latin",Developing,Growth,15589,101359,0.1538,,32,623907,4969
4384060,NANO.,España,,,Nano,"Latin Pop, Latin Hip-Hop/Rap, Latin Rock, Latin",Developing,Steady,28437,123502,0.230255,,37,307938,8180
483588,Simon Smith,España,,,Unknown Association,"Pop, Electronic, Soundtracks",Developing,Growth,1272,65633,0.01938,,26,156613,2940
485838,Adrià Salas,España,He/Him,Artistas solistas,Unknown Association,"Latin Pop, Latin Rock, Singer/Songwriter, Latin",Developing,Growth,1624,141142,0.011506,,32,713506,4743
892664,Vinnie Dollar,España,He/Him,Artistas solistas,"Lumbier Records, 2024 BoltMusic",Hip-Hop/Rap,Developing,Growth,15363,177640,0.086484,,39,789063,2863
56537,Shabu One Shant,España,,,Unknown Association,"Hip-Hop/Rap, Reggae, Dancehall",Developing,Growth,4181,5661,0.738562,,36,931115,11913
370031,Javi Bora,España,,,Too Many Rules,"Dance, Electronic, House",Developing,Steady,3166,30541,0.103664,,23,829416,6951
516003,El Vicio Del Duende,España,,,La Cupula Music,"Rock, Singer/Songwriter, Punk",Developing,Growth,7643,84565,0.09038,,33,123290,1711
476273,Lax'n'Busto,España,They/Them,Grupo,RGB Suports,"Latin Rock, Latin Pop, Alternative, Latin",Developing,Growth,62001,107306,0.577796,,36,461734,7092
403229,Jennifer Lara,España,She/Her,Artistas solistas,"Sydney Crooks, Sydney Crooks-productions","Reggae, Alternative",Developing,Steady,11807,73481,0.160681,,29,1059798,13375
333716,Poncho K,España,He/Him,Artistas solistas,Unknown Association,"Latin Rock, Punk, Alternative, Latin",Developing,Growth,69432,96550,0.71913,,42,1308657,11674
188056,Astrud,España,They/Them,Grupo,Junk Records,"Latin Pop, Alternative, Latin Classical, Latin",Developing,Steady,16273,20061,0.811176,,21,350898,3034
272383,Gatillazo,España,They/Them,Grupo,Gatillazo,"Punk, Latin Rock, Alternative, Latin",Developing,Growth,117884,130296,0.90474,,40,349203,6071
