Brand,Followers,Percent,Brand Affinity
Spotify Music,20927,22.28,5.49
Apple,7414,7.89,1.05
SoundCloud,7046,7.5,2.28
Beats Electronics,6257,6.66,3.05
Nike,5942,6.33,1.27
Adidas,4154,4.42,1.3
Walt Disney,4101,4.37,0.65
Ableton,3733,3.98,2.27
Netflix,3260,3.47,1.12
Amazon,3207,3.42,1.47
Canon,2787,2.97,1.74
Polaroid,2524,2.69,1.85
