Artista,name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
KYNE,5AM,203531,0.827,0.722,7,-6.475,1,0.0344,0.452,0.0,0.122,0.59,104.963
KYNE,Closure,217719,0.817,0.431,5,-9.888,0,0.0759,0.325,0.000604,0.136,0.207,100.045
KYNE,Heart Break Melody,129699,0.774,0.444,7,-9.457,1,0.0508,0.494,0.000482,0.123,0.369,140.096
KYNE,Runaway,137090,0.906,0.651,1,-6.208,1,0.127,0.213,0.0,0.085,0.947,146.997
KYNE,Over It,161171,0.813,0.655,8,-7.891,0,0.222,0.267,2.89e-05,0.135,0.816,59.953
KYNE,Starting Over,235171,0.517,0.366,9,-10.499,0,0.0587,0.874,0.000561,0.0985,0.0753,119.898
