Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
3655492,Judeline,España,She/Her,Artistas solistas,"UMG (Interscope), Judeline","R&B/Soul, Latin Pop, Latin Hip-Hop/Rap, Latin",Mid-Level,Steady,67230.0,897270.0,0.074927,52.0,5388429.0,22205.0
86502,Luz Casal,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Mid-Level,Growth,355623.0,788223.0,0.451171,49.0,1630734.0,9452.0
217362,Zahara,España,She/Her,Artistas solistas,G.O.Z.Z. Records,"Latin Pop, Latin Rock, Alternative, Latin",Mid-Level,Steady,233433.0,788123.0,0.296189,48.0,7745596.0,41812.0
434417,Pastora Soler,España,She/Her,Artistas solistas,WMG (Warner Music Spain),"Latin Pop, Latin",Mid-Level,Steady,401338.0,764845.0,0.524731,47.0,3995924.0,16080.0
3880118,Carmen DeLeon,España,She/Her,Artistas solistas,"CDL Records, UMG (Capitol Records)","Latin Pop, Soundtracks, Latin",Mid-Level,Steady,42441.0,758820.0,0.05593,47.0,3832050.0,10907.0
210676,Arca,España,She/It,Artistas solistas,XL Recordings,"Electronic, Hip-Hop/Rap, Pop",Mainstream,Steady,540495.0,753899.0,0.716933,56.0,17293108.0,79371.0
420561,Sofia Ellar,España,She/Her,Artistas solistas,NOTA EN DO SL,"Latin Pop, Latin",Mid-Level,Steady,141408.0,728029.0,0.194234,47.0,4852329.0,21443.0
161915,Diana Navarro,España,She/Her,Artistas solistas,No Te Olvides de Mi,"Latin Pop, Latin Rock, Latin Classical, Latin",Mid-Level,Steady,104940.0,652250.0,0.160889,44.0,3450338.0,12157.0
320269,Amaia Montero,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Mainstream,Steady,1229768.0,648282.0,1.896965,55.0,17907463.0,39334.0
178021,ELE,España,She/Her,Artistas solistas,Elegz,"R&B/Soul, Pop, Alternative",Developing,Growth,10461.0,604289.0,0.017311,43.0,3134318.0,10959.0
668303,Belén Aguilera,España,She/Her,Grupo,"Belén Aguilera, Belén Aguilera distributed by Altafonte","Pop, Singer/Songwriter, Dance",Mid-Level,Steady,127181.0,577884.0,0.220081,50.0,2806900.0,22037.0
208823,Zaira,España,She/Her,Artistas solistas,Ophion Agency,"Pop, Flamenco, House",Mid-Level,Steady,26166.0,573257.0,0.045644,47.0,1719427.0,10033.0
8169998,Isabel Aaiún,España,She/Her,Artistas solistas,Níquel Records,"Latin Pop, Flamenco, Singer/Songwriter, Latin",Developing,Steady,5909.0,561933.0,0.010515,48.0,309492.0,950.0
84825,Rocío Jurado,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin",Mid-Level,Growth,479215.0,545794.0,0.878014,47.0,6877231.0,14205.0
